FirstName,LastName,ID,Pay,Position,PhoneNumber
Bob,Johnson,000,15.6,Ops Manager,555-012-3456
John,Smith,001,20.5,Manager,555-045-6789
Emily,Johnson,002,18.75,Developer,555-078-9123
Michael,Brown,003,22,Designer,555-111-2345
Sarah,Davis,004,19,Analyst,555-131-5678
David,Wilson,005,25,Engineer,555-151-8901
Jessica,Taylor,006,17.5,Marketer,555-171-2345
Daniel,Martinez,007,21,Sales Rep,555-192-6789
Ashley,Anderson,008,20,HR Officer,555-212-3456
Robert,Thomas,009,24,Proj Lead,555-232-6789
Lauren,Jackson,010,19.5,Researcher,555-252-9012
James,White,011,18,Help Desk,555-272-3456
Olivia,Harris,012,22.5,Accountant,555-292-6789
William,Martin,013,16.75,IT Support,555-303-7890
Sophia,Thompson,014,23,Ops Lead,555-313-4567
Benjamin,Garcia,015,20.25,Data Spec,555-323-8901
Mia,Martinez,016,19.25,Admin Asst,555-333-4567
Ethan,Robinson,017,21.5,Web Dev,555-343-6789
Isabella,Clark,018,18.9,Copywriter,555-353-7890
Alexander,Rodriguez,019,22.75,Sys Admin,555-363-8901
Charlotte,Lewis,020,20,QA Tester,555-373-4567
Noah,Lee,021,19.8,Graphics,555-383-6789
Amelia,Walker,022,23.5,Test Engr,555-393-8901
Jacob,Hall,023,21.25,Prod Lead,555-404-5678
Evelyn,Allen,024,20.75,Media Lead,555-414-6789
Lucas,Young,025,17,Lab Asst,555-4141-0830
